,carat,depth,table,price,x,y,z,y_train
45545,0.51,61.0,60.0,1687,5.18,5.15,3.15,0
21840,1.7,61.0,59.0,9901,7.66,7.62,4.66,2
45929,0.53,61.9,56.0,1721,5.17,5.2,3.21,0
8186,1.5,71.3,58.0,4368,6.85,6.81,4.87,1
33009,0.41,61.4,59.2,813,4.76,4.78,2.93,0
53155,0.73,61.7,60.0,2624,5.71,5.8,3.55,0
45551,0.51,61.6,58.0,1687,5.14,5.12,3.16,0
22538,1.0,61.3,53.0,10577,6.44,6.48,3.96,2
13777,1.27,62.6,59.0,5618,6.92,6.88,4.32,1
53602,0.7,61.0,56.0,2700,5.75,5.72,3.5,0
32082,0.33,62.3,57.0,781,4.41,4.45,2.76,0
47034,0.55,61.1,57.0,1819,5.3,5.27,3.23,0
41951,0.23,63.3,57.0,505,3.91,3.93,2.48,0
16919,1.35,61.8,54.0,6754,7.1,7.14,4.4,1
13194,1.02,62.4,58.0,5454,6.43,6.39,4.0,1
50813,0.7,63.7,61.0,2307,5.64,5.6,3.58,0
2108,0.92,64.9,58.0,3117,6.1,6.04,3.94,0
36584,0.33,61.8,54.0,946,4.47,4.49,2.77,0
10680,1.11,58.4,60.0,4842,6.87,6.83,4.0,1
13574,1.01,60.0,60.0,5556,6.45,6.49,3.88,1
7562,1.2,62.6,61.0,4250,6.73,6.68,4.2,1
23504,1.51,62.0,58.0,11512,7.27,7.31,4.52,3
25940,2.01,61.8,59.0,15105,8.15,8.09,5.02,4
47053,0.71,62.8,61.0,1821,5.63,5.71,3.56,0
13327,1.01,65.5,62.0,5501,6.19,6.23,4.07,1
42415,0.52,61.1,56.0,1311,5.19,5.23,3.18,0
10550,1.24,60.7,57.0,4812,6.98,6.92,4.22,1
5291,0.9,62.3,61.0,3800,6.17,6.12,3.83,1
12793,1.02,60.2,62.0,5335,6.46,6.54,3.91,1
16685,0.31,61.3,55.0,421,4.35,4.38,2.67,0
42042,0.48,61.5,60.7,1268,4.99,5.05,3.09,0
48728,0.52,62.1,56.0,2012,5.17,5.14,3.2,0
13890,1.23,61.6,58.0,5654,6.91,6.85,4.24,1
6876,1.01,64.9,56.0,4129,6.33,6.25,4.08,1
17682,1.16,60.7,58.0,7128,6.86,6.81,4.15,1
31780,0.42,62.7,55.0,773,4.8,4.83,3.02,0
14081,1.01,63.5,57.0,5713,6.38,6.31,4.03,1
35099,0.3,62.4,54.0,886,4.33,4.36,2.71,0
38798,0.31,62.8,53.0,1046,4.36,4.34,2.73,0
53823,0.77,60.9,57.0,2736,5.92,5.94,3.61,0
33186,0.37,63.3,56.0,818,4.58,4.61,2.91,0
10739,0.33,60.0,59.0,594,4.49,4.47,2.69,0
1364,0.9,64.6,58.0,2964,6.12,6.06,3.93,0
42954,0.3,63.5,58.0,506,4.27,4.24,2.7,0
40217,0.4,62.3,58.0,1123,4.66,4.72,2.92,0
2429,0.73,61.9,56.0,3183,5.74,5.81,3.61,0
51578,0.65,62.7,57.0,2392,5.56,5.5,3.47,0
33097,0.29,61.7,55.0,815,4.25,4.28,2.63,0
16735,0.41,63.4,58.0,611,4.7,4.73,2.99,0
43588,0.41,61.7,56.0,1432,4.77,4.8,2.95,0
50415,0.67,63.8,57.0,2258,5.53,5.48,3.51,0
49266,0.8,60.0,60.0,2088,6.1,5.97,3.66,0
25239,2.01,63.1,55.0,13849,7.99,8.09,5.07,3
41311,0.55,63.6,61.0,1213,5.22,5.16,3.3,0
51870,0.71,61.4,55.0,2427,5.75,5.82,3.55,0
51574,0.54,61.9,60.0,2391,5.26,5.21,3.24,0
47694,0.5,62.2,54.0,1883,5.1,5.13,3.18,0
53774,0.79,63.6,57.0,2726,5.86,5.84,3.72,0
29039,0.4,63.2,56.0,687,4.69,4.74,2.98,0
39252,0.42,61.6,55.0,1069,4.84,4.87,2.99,0
42014,0.54,60.1,58.0,1266,5.28,5.34,3.19,0
46307,0.3,62.9,57.0,526,4.26,4.29,2.69,0
26364,0.32,63.0,55.0,645,4.35,4.38,2.75,0
33418,0.32,62.1,58.0,828,4.39,4.34,2.71,0
29969,0.31,61.1,57.0,446,4.32,4.35,2.65,0
53764,0.7,62.6,57.0,2726,5.67,5.7,3.56,0
8298,0.9,59.8,55.0,4385,6.34,6.3,3.78,1
22923,1.35,61.9,58.0,10962,7.06,7.02,4.36,2
24706,0.41,61.6,56.0,639,4.79,4.82,2.96,0
53531,0.71,61.6,56.0,2690,5.78,5.82,3.57,0
14225,1.33,62.3,59.0,5765,7.01,6.98,4.36,1
5990,0.91,62.4,57.0,3954,6.17,6.21,3.86,1
20650,1.27,62.5,57.0,8941,6.86,6.91,4.3,2
240,0.71,62.5,55.0,2788,5.71,5.65,3.55,0
37130,0.37,59.6,60.0,971,4.75,4.68,2.81,0
41446,0.53,60.8,57.0,1229,5.23,5.26,3.19,0
1950,0.84,59.2,59.0,3086,6.19,6.14,3.65,0
25615,1.51,61.8,54.0,14482,7.42,7.38,4.57,4
11026,0.91,62.1,58.0,4917,6.19,6.24,3.86,1
34888,0.31,59.4,57.0,879,4.5,4.45,2.66,0
45372,0.5,64.1,56.0,1666,5.02,5.06,3.23,0
13609,1.02,62.1,59.0,5569,6.43,6.38,3.98,1
27354,2.57,58.9,58.0,17924,8.99,8.94,5.28,4
43991,0.3,62.6,58.0,394,4.28,4.31,2.69,0
31811,0.43,62.5,55.0,774,4.8,4.83,3.01,0
36555,0.4,61.8,56.0,945,4.74,4.71,2.92,0
4028,0.75,61.3,55.0,3525,5.85,5.89,3.59,0
7614,1.01,59.2,59.0,4260,6.52,6.58,3.88,1
13407,0.3,63.1,59.0,603,4.2,4.27,2.67,0
10127,1.11,62.6,56.0,4719,6.58,6.65,4.14,1
31653,0.35,60.9,59.0,767,4.54,4.56,2.77,0
41536,0.42,62.0,56.0,1235,4.84,4.81,2.99,0
32090,0.33,61.6,58.0,781,4.41,4.45,2.73,0
12290,1.02,61.2,58.0,5217,6.47,6.5,3.97,1
45031,0.54,62.2,58.0,1637,5.26,5.23,3.26,0
3956,1.2,61.9,56.0,3505,6.82,6.85,4.23,0
35006,0.4,63.5,55.0,882,4.71,4.67,2.98,0
6006,1.01,63.6,55.0,3959,6.39,6.31,4.04,1
22303,1.54,61.6,58.0,10349,7.42,7.39,4.56,2
41163,0.52,62.9,56.0,1200,5.08,5.12,3.21,0
29416,0.38,62.8,56.0,700,4.59,4.62,2.89,0
21269,1.53,61.1,58.0,9424,7.41,7.45,4.54,2
11654,1.02,60.7,57.0,5055,6.55,6.51,3.97,1
4186,0.95,60.6,57.0,3558,6.4,6.34,3.86,1
1728,0.32,61.8,57.0,561,4.37,4.4,2.71,0
42182,0.56,63.2,57.0,1286,5.27,5.23,3.32,0
21953,1.51,60.6,58.0,10020,7.47,7.39,4.5,2
48457,0.73,63.1,59.0,1975,5.76,5.72,3.62,0
48438,0.51,61.5,57.0,1974,5.18,5.13,3.17,0
42535,0.4,60.8,59.0,1323,4.81,4.76,2.91,0
53800,0.9,68.7,62.0,2732,5.83,5.79,3.99,0
10262,1.01,61.2,54.0,4751,6.52,6.49,3.98,1
32099,0.33,60.6,57.0,781,4.5,4.54,2.74,0
47184,0.51,61.7,57.0,1837,5.12,5.15,3.16,0
14376,0.3,60.7,58.0,605,4.32,4.35,2.63,0
47567,0.51,61.8,56.0,1875,5.1,5.16,3.17,0
38905,0.33,60.1,58.0,1052,4.51,4.47,2.7,0
33068,0.32,62.6,54.0,814,4.38,4.4,2.75,0
50360,0.72,63.1,58.0,2246,5.69,5.63,3.57,0
28714,0.23,61.3,60.0,680,4.01,3.95,2.44,0
2676,0.7,61.5,55.0,3239,5.7,5.74,3.52,0
49130,0.56,61.0,57.0,2066,5.35,5.28,3.24,0
9950,0.92,61.8,55.0,4696,6.25,6.28,3.87,1
15249,1.07,63.0,57.0,6124,6.57,6.47,4.11,1
40922,0.3,62.3,53.9,499,4.28,4.31,2.68,0
1730,0.32,61.7,58.0,561,4.38,4.44,2.72,0
28497,0.3,62.4,56.0,673,4.3,4.32,2.68,0
34088,0.36,61.8,56.0,852,4.56,4.6,2.83,0
50513,0.71,62.0,54.0,2272,5.73,5.77,3.56,0
26556,1.6,60.2,55.5,16240,7.6,7.66,4.59,4
27364,0.28,62.1,56.0,646,4.19,4.21,2.61,0
38245,0.32,61.1,56.0,1018,4.42,4.48,2.72,0
43302,0.61,60.9,58.0,1401,5.52,5.44,3.34,0
44364,0.56,60.6,57.0,1580,5.33,5.36,3.24,0
27608,2.03,61.5,59.0,18477,8.24,8.16,5.04,4
26032,0.32,61.3,57.0,645,4.37,4.4,2.69,0
31879,0.3,62.8,57.0,776,4.25,4.22,2.66,0
44776,0.56,61.1,55.0,1622,5.33,5.35,3.26,0
3173,0.9,62.0,63.0,3338,6.13,6.03,3.77,0
8846,0.96,60.6,62.0,4480,6.39,6.35,3.86,1
31424,0.3,61.2,55.0,764,4.36,4.37,2.67,0
11640,0.72,60.8,56.0,5051,5.83,5.81,3.54,1
51723,0.7,59.8,59.0,2401,5.74,5.8,3.45,0
11781,1.01,63.1,57.0,5085,6.33,6.44,4.03,1
15299,1.29,62.2,58.0,6140,7.03,6.96,4.35,1
19965,1.59,60.7,59.0,8515,7.49,7.54,4.56,2
35279,0.39,62.3,54.0,895,4.69,4.71,2.93,0
20550,1.01,60.8,59.0,8869,6.47,6.5,3.94,2
45447,0.52,58.3,61.0,1673,5.26,5.31,3.08,0
14064,0.3,61.8,57.0,605,4.31,4.33,2.67,0
16039,0.3,63.7,58.0,608,4.25,4.23,2.7,0
25308,1.51,59.8,59.0,13986,7.55,7.47,4.49,3
6896,0.9,61.1,63.0,4134,6.17,6.2,3.78,1
31772,0.32,59.7,62.0,773,4.43,4.38,2.63,0
44554,0.52,62.5,58.0,1605,5.17,5.13,3.22,0
26396,2.14,61.3,61.0,15913,8.32,8.28,5.09,4
17544,1.01,63.6,60.0,7059,6.36,6.31,4.03,1
30216,0.33,62.3,55.0,723,4.43,4.46,2.77,0
18711,0.27,61.6,59.0,620,4.15,4.16,2.56,0
45183,0.51,62.0,56.0,1656,5.11,5.15,3.18,0
52404,0.6,64.2,55.0,2511,5.31,5.34,3.42,0
39984,0.41,59.8,61.0,1107,4.84,4.79,2.88,0
7269,1.0,61.4,56.0,4200,6.45,6.39,3.94,1
7113,1.0,62.7,59.0,4170,6.36,6.3,3.97,1
40501,0.42,62.4,55.0,1142,4.8,4.79,2.99,0
30741,0.43,63.6,53.0,739,4.79,4.83,3.06,0
9329,0.9,59.1,62.0,4580,6.24,6.28,3.7,1
17639,1.22,62.7,56.0,7105,6.82,6.74,4.25,1
24032,0.4,61.5,58.0,633,4.73,4.76,2.92,0
27482,2.03,60.9,59.0,18166,8.17,8.14,4.97,4
35210,0.33,62.2,56.0,891,4.45,4.42,2.76,0
4819,0.91,62.8,57.0,3703,6.09,6.18,3.85,1
45543,0.51,61.8,55.0,1687,5.18,5.14,3.19,0
20963,1.21,62.7,61.0,9176,6.67,6.72,4.2,2
21256,1.57,63.4,56.0,9407,7.46,7.4,4.71,2
21384,0.34,61.2,58.0,626,4.47,4.49,2.74,0
38889,0.4,62.3,57.0,1050,4.73,4.68,2.93,0
21301,1.54,60.9,56.4,9452,7.43,7.45,4.53,2
9771,1.11,62.0,54.0,4662,6.64,6.61,4.11,1
40089,0.33,60.9,60.0,1114,4.5,4.46,2.73,0
17806,1.0,62.5,57.0,7177,6.38,6.45,4.01,1
37620,0.44,60.8,57.0,990,4.93,4.88,2.98,0
3014,0.76,62.0,57.0,3306,5.88,5.92,3.66,0
44914,0.53,61.0,58.0,1631,5.18,5.22,3.17,0
43621,0.46,60.5,58.0,1432,5.02,4.97,3.02,0
51041,0.7,60.8,59.0,2330,5.71,5.74,3.48,0
21550,1.44,62.9,58.0,9653,7.2,7.14,4.51,2
9665,1.06,62.4,54.0,4643,6.51,6.57,4.08,1
38865,0.4,61.5,59.0,1050,4.76,4.71,2.91,0
36410,0.31,61.6,56.0,942,4.38,4.35,2.69,0
3447,1.01,62.0,57.0,3388,6.37,6.41,3.96,0
49919,0.7,63.3,61.0,2184,5.6,5.55,3.53,0
3495,0.7,61.6,55.0,3399,5.68,5.71,3.51,0
44678,0.72,63.8,59.0,1609,5.64,5.58,3.58,0
32956,0.24,61.0,57.0,461,4.01,4.04,2.45,0
26979,2.15,62.8,58.0,17065,8.17,8.22,5.15,4
17974,1.32,62.3,57.0,7270,7.04,6.99,4.37,2
16421,1.27,60.7,61.0,6559,6.97,6.91,4.21,1
4818,0.91,62.8,61.0,3703,6.07,6.09,3.82,1
46082,0.5,62.6,59.0,1738,5.03,5.06,3.16,0
19372,0.27,62.3,56.0,622,4.15,4.17,2.59,0
22313,1.21,60.9,60.0,10353,6.91,6.86,4.19,2
13619,0.95,59.9,58.0,5572,6.37,6.41,3.83,1
13487,1.5,62.1,57.0,5536,7.42,7.26,4.56,1
39787,0.39,61.9,57.0,1095,4.69,4.71,2.91,0
36907,0.42,61.5,55.0,961,4.83,4.86,2.98,0
29370,0.31,63.4,59.0,698,4.32,4.29,2.73,0
21844,1.2,59.4,56.0,9904,6.94,7.0,4.14,2
38351,0.51,61.5,58.0,1020,5.14,5.1,3.15,0
8415,1.02,60.7,62.0,4404,6.44,6.47,3.92,1
47493,0.5,62.2,55.0,1865,5.09,5.14,3.18,0
47252,0.52,62.4,58.0,1842,5.13,5.09,3.19,0
19723,1.21,61.5,56.0,8294,6.83,6.88,4.22,2
44840,0.52,61.7,56.0,1625,5.17,5.2,3.19,0
48096,0.51,61.6,56.0,1933,5.12,5.16,3.17,0
27172,2.0,61.1,58.0,17436,8.11,8.08,4.95,4
18279,1.21,61.9,57.0,7424,6.88,6.79,4.23,2
41918,1.03,78.2,54.0,1262,5.72,5.59,4.42,0
46087,0.56,62.2,55.0,1739,5.25,5.28,3.28,0
24320,1.5,61.0,57.0,12576,7.32,7.4,4.49,3
20860,2.17,60.7,59.0,9078,8.43,8.35,5.09,2
53458,0.8,62.6,56.1,2677,5.87,5.92,3.7,0
29169,0.3,62.4,57.0,694,4.25,4.27,2.66,0
15237,1.0,60.6,59.0,6115,6.48,6.42,3.91,1
23146,1.02,61.5,59.0,11163,6.46,6.41,3.96,3
10436,1.2,61.7,56.0,4785,6.82,6.76,4.19,1
13405,0.35,60.0,57.0,603,4.57,4.6,2.75,0
9064,1.0,63.0,58.0,4516,6.35,6.26,3.97,1
30719,0.35,66.2,58.0,738,4.41,4.35,2.9,0
8437,0.7,61.0,61.0,4407,5.69,5.72,3.48,1
44457,0.57,59.8,59.0,1592,5.39,5.41,3.23,0
35287,0.36,60.8,58.0,473,4.57,4.61,2.79,0
27491,2.01,61.6,55.0,18183,8.08,8.02,4.97,4
5542,0.93,62.5,55.0,3856,6.23,6.29,3.91,1
26429,1.52,60.4,59.0,15959,7.38,7.48,4.49,4
25853,1.5,61.8,59.0,14925,7.38,7.31,4.54,4
28676,0.24,60.8,55.0,678,4.03,4.06,2.46,0
41186,0.39,61.6,56.0,1201,4.69,4.73,2.9,0
36392,0.31,60.5,57.0,942,4.38,4.41,2.66,0
32272,0.3,60.8,60.0,789,4.27,4.31,2.61,0
16384,1.04,62.8,56.0,6542,6.48,6.42,4.05,1
50422,0.7,62.0,55.0,2259,5.69,5.73,3.54,0
2531,0.71,58.7,62.0,3205,5.87,5.81,3.43,0
20543,1.21,61.8,55.0,8864,6.81,6.87,4.23,2
33764,0.4,61.4,58.0,840,4.78,4.73,2.92,0
48394,0.7,63.0,60.0,1966,5.62,5.59,3.53,0
53210,0.77,58.4,63.0,2635,5.95,6.03,3.5,0
8494,0.9,61.9,62.0,4419,6.15,6.17,3.81,1
44971,0.32,61.2,56.0,523,4.42,4.44,2.71,0
15419,1.01,64.2,60.0,6176,6.35,6.32,4.07,1
47706,0.58,61.6,55.0,1884,5.33,5.38,3.3,0
52975,0.24,58.3,57.0,552,4.1,4.14,2.4,0
7518,1.01,62.9,58.0,4242,6.37,6.34,4.0,1
1159,0.7,64.5,58.0,2925,5.55,5.59,3.59,0
44373,0.43,60.9,57.0,1580,4.89,4.86,2.97,0
26398,2.01,62.3,58.0,15917,8.11,8.06,5.04,4
53512,0.71,62.8,56.0,2686,5.66,5.61,3.54,0
31633,0.3,62.0,56.0,450,4.29,4.32,2.67,0
41449,0.4,61.7,57.0,1229,4.7,4.73,2.91,0
27800,0.37,60.9,60.0,649,4.6,4.63,2.81,0
2657,0.77,60.5,59.0,3234,5.98,5.92,3.6,0
49094,0.51,63.8,58.0,2063,5.06,5.09,3.24,0
9639,1.17,57.8,62.0,4639,6.97,6.91,4.01,1
2185,1.0,61.3,57.0,3136,6.44,6.41,3.94,0
50227,0.54,61.6,56.0,2231,5.23,5.26,3.23,0
37386,0.4,62.3,57.0,982,4.72,4.75,2.95,0
21058,0.31,61.5,56.0,625,4.39,4.43,2.71,0
7717,0.32,61.0,56.0,580,4.43,4.45,2.71,0
18525,1.17,61.4,56.0,7550,6.77,6.81,4.17,2
29531,0.37,61.0,55.0,703,4.66,4.69,2.85,0
7804,0.9,61.8,59.0,4291,6.13,6.16,3.8,1
50668,0.31,59.6,57.0,544,4.4,4.43,2.63,0
20989,1.02,60.9,56.0,9205,6.44,6.5,3.94,2
4675,1.0,60.6,62.0,3672,6.36,6.45,3.88,1
35688,0.39,61.9,54.0,911,4.7,4.73,2.92,0
28331,0.33,61.9,54.0,666,4.44,4.48,2.76,0
5464,1.0,62.0,61.0,3835,6.36,6.45,3.97,1
35474,0.39,60.7,55.0,902,4.75,4.78,2.89,0
9486,0.91,60.8,57.0,4606,6.24,6.25,3.8,1
2995,0.9,63.8,59.0,3303,6.02,6.05,3.85,0
30926,0.35,60.1,62.0,745,4.52,4.57,2.73,0
22634,1.21,61.8,57.0,10685,6.81,6.86,4.23,2
44248,0.51,63.7,56.0,1574,5.05,5.03,3.21,0
51714,0.7,62.9,59.0,2401,5.62,5.67,3.55,0
40941,0.27,62.3,54.0,500,4.16,4.19,2.6,0
8922,1.0,60.8,60.0,4496,6.44,6.49,3.93,1
27393,2.04,63.0,58.0,17952,8.03,8.1,5.08,4
4390,0.31,62.9,56.0,571,4.31,4.34,2.72,0
26156,1.92,61.3,57.0,15472,8.0,8.06,4.92,4
12742,0.91,64.0,61.0,5317,6.06,6.13,3.9,1
29368,0.31,62.9,56.0,698,4.34,4.28,2.71,0
4828,0.9,60.3,55.0,3704,6.35,6.28,3.81,1
51338,0.52,62.3,56.0,2362,5.12,5.15,3.2,0
45802,0.5,61.3,59.0,1710,5.09,5.15,3.14,0
20714,0.31,61.9,54.0,625,4.35,4.38,2.7,0
26959,2.04,62.5,58.0,17028,8.22,8.09,5.1,4
29249,0.39,60.1,58.0,697,4.74,4.78,2.86,0
22854,1.01,61.6,58.0,10888,6.57,6.45,4.01,2
37564,0.31,62.6,57.0,988,4.32,4.3,2.7,0
49750,0.63,63.1,58.0,2157,5.42,5.46,3.43,0
31415,0.3,62.2,57.0,764,4.28,4.3,2.67,0
38759,0.53,62.1,54.0,1046,5.2,5.24,3.24,0
31683,0.26,61.7,57.0,769,4.1,4.07,2.52,0
3480,0.61,62.2,54.0,3397,5.41,5.45,3.38,0
31382,0.3,62.3,53.9,762,4.3,4.32,2.69,0
6535,0.95,60.7,59.0,4070,6.36,6.3,3.84,1
39070,0.4,58.5,60.0,1059,4.82,4.86,2.83,0
43335,0.56,61.3,56.0,1405,5.28,5.32,3.25,0
42147,0.52,61.4,57.0,1282,5.17,5.19,3.18,0
31573,0.31,60.8,56.0,767,4.39,4.42,2.68,0
11724,0.34,63.1,57.0,596,4.4,4.44,2.79,0
41355,0.43,62.4,56.0,1218,4.81,4.84,3.01,0
47016,0.56,61.7,54.0,1819,5.28,5.35,3.28,0
33901,0.3,62.3,57.0,844,4.3,4.27,2.67,0
31257,0.32,62.4,57.0,758,4.34,4.38,2.72,0
51788,0.7,65.8,56.0,2415,5.54,5.49,3.63,0
39634,0.34,61.6,56.0,1084,4.51,4.48,2.77,0
38573,0.4,62.6,58.0,1035,4.71,4.68,2.94,0
14094,0.91,60.6,56.0,5717,6.27,6.3,3.81,1
3819,1.11,62.5,56.0,3469,6.63,6.55,4.12,0
43316,0.38,62.2,54.1,1402,4.64,4.67,2.89,0
686,0.86,62.7,59.0,2851,6.04,5.98,3.77,0
11134,1.0,59.7,60.0,4939,6.51,6.48,3.88,1
40658,0.5,59.5,59.0,1154,5.16,5.19,3.08,0
34031,0.4,62.3,60.0,850,4.66,4.68,2.91,0
1855,0.85,61.4,60.0,3066,6.05,6.13,3.74,0
27654,2.01,61.4,54.0,18607,8.16,8.09,4.99,4
16912,1.37,61.0,57.0,6751,7.25,7.19,4.4,1
38224,0.4,62.4,58.0,1017,4.7,4.76,2.95,0
33594,0.37,59.3,60.0,833,4.71,4.67,2.78,0
18996,1.01,60.8,59.0,7821,6.42,6.46,3.92,2
28417,0.43,63.6,55.0,669,4.8,4.83,3.06,0
30923,0.34,61.9,58.0,745,4.43,4.45,2.75,0
41811,0.54,62.1,56.0,1250,5.22,5.18,3.23,0
4467,0.7,63.1,58.0,3622,5.6,5.66,3.55,1
4929,1.11,63.2,59.0,3730,6.55,6.46,4.11,1
16525,1.05,60.8,57.0,6604,6.65,6.58,4.02,1
1823,0.91,63.9,56.0,3058,6.11,6.06,3.89,0
34765,0.41,61.9,57.0,876,4.8,4.76,2.96,0
38536,0.34,60.6,57.0,1033,4.53,4.51,2.74,0
36893,0.31,62.4,57.0,959,4.32,4.3,2.69,0
28246,0.33,61.9,55.0,666,4.41,4.44,2.74,0
40086,0.33,60.3,59.0,1114,4.49,4.47,2.7,0
20083,1.13,62.9,58.0,8561,6.59,6.63,4.16,2
31073,0.33,59.5,60.0,752,4.52,4.55,2.7,0
10517,0.71,62.0,56.0,4802,5.69,5.73,3.54,1
33726,0.43,62.8,58.0,839,4.85,4.83,3.04,0
33106,0.39,62.0,57.0,816,4.68,4.74,2.92,0
52199,0.71,60.3,58.0,2479,5.78,5.76,3.48,0
42472,0.5,61.5,55.0,1317,5.12,5.16,3.16,0
29589,0.43,60.7,61.0,706,4.86,4.89,2.96,0
35129,0.36,61.8,55.0,888,4.57,4.62,2.84,0
31648,0.28,59.0,60.0,452,4.26,4.32,2.53,0
6834,1.01,62.2,58.0,4121,6.36,6.4,3.97,1
34757,0.41,62.9,58.0,876,4.73,4.72,2.97,0
13073,1.17,62.5,56.0,5412,6.77,6.7,4.21,1
20571,1.21,61.5,59.0,8886,6.82,6.88,4.21,2
41151,0.45,63.7,61.0,1197,4.81,4.73,3.04,0
22184,1.3,62.0,55.0,10221,7.02,6.98,4.34,2
45204,0.51,62.7,56.0,1656,5.08,5.13,3.2,0
37785,0.57,62.1,57.0,1000,5.29,5.33,3.3,0
10193,0.9,62.6,62.0,4739,6.11,6.15,3.84,1
46346,0.71,59.6,63.0,1758,5.8,5.71,3.44,0
26972,2.09,61.8,57.0,17051,8.24,8.17,5.07,4
13322,1.0,63.3,60.0,5500,6.29,6.37,4.01,1
44249,0.51,62.9,57.0,1574,5.12,5.09,3.21,0
24796,1.62,62.6,58.0,13177,7.48,7.53,4.7,3
32629,0.23,58.1,52.0,458,4.03,4.1,2.36,0
38836,0.52,63.1,56.0,1049,5.08,5.12,3.22,0
29744,0.32,62.0,54.0,708,4.39,4.42,2.73,0
26455,2.53,61.5,53.0,15993,8.78,8.74,5.39,4
26877,1.4,61.9,57.0,16808,7.2,7.14,4.44,4
12950,1.01,61.7,57.0,5387,6.37,6.44,3.96,1
24153,2.21,60.6,62.0,12327,8.45,8.37,5.1,3
27175,2.0,58.0,58.0,17447,8.21,8.26,4.78,4
47283,0.3,61.6,59.0,394,4.29,4.34,2.66,0
47951,0.71,62.8,61.0,1917,5.71,5.63,3.56,0
44916,0.53,62.2,56.0,1631,5.19,5.23,3.24,0
29201,0.33,62.0,58.0,694,4.44,4.46,2.76,0
15335,1.02,62.8,56.0,6158,6.44,6.39,4.03,1
12976,1.06,62.5,56.0,5393,6.61,6.47,4.09,1
19990,1.01,61.0,57.0,8532,6.46,6.52,3.96,2
51121,0.71,62.2,55.1,2339,5.7,5.72,3.55,0
40439,0.7,65.3,59.0,1138,5.5,5.47,3.58,0
33010,0.31,64.2,60.0,813,4.22,4.28,2.73,0
30031,0.39,61.8,56.0,718,4.64,4.71,2.89,0
39114,0.41,59.8,61.0,1061,4.82,4.78,2.87,0
34572,0.31,62.3,56.0,871,4.34,4.36,2.71,0
53923,0.73,61.3,56.0,2756,5.8,5.84,3.57,0
19903,1.21,61.2,57.0,8452,6.87,6.82,4.19,2
17422,1.06,62.5,54.0,6981,6.6,6.53,4.1,1
42285,0.36,61.7,55.0,505,4.58,4.62,2.84,0
5493,1.06,58.7,60.0,3842,6.65,6.71,3.92,1
6162,1.01,56.8,66.0,3991,6.63,6.58,3.75,1
48415,0.73,60.2,59.0,1971,5.87,5.82,3.52,0
1145,0.77,60.6,56.0,2922,5.95,5.9,3.59,0
121,0.74,62.3,54.0,2762,5.8,5.83,3.62,0
28292,0.24,62.0,56.0,432,4.0,4.01,2.48,0
18809,1.05,59.1,57.0,7697,6.67,6.66,3.94,2
13636,1.03,60.1,60.0,5581,6.55,6.52,3.93,1
15808,1.06,60.1,58.0,6325,6.67,6.64,4.0,1
21487,1.22,62.0,60.0,9581,6.74,6.79,4.22,2
408,0.34,61.5,56.0,555,4.47,4.5,2.76,0
19349,1.51,63.1,55.0,8049,7.25,7.32,4.6,2
36415,0.31,61.9,58.0,942,4.32,4.31,2.67,0
34116,0.31,61.7,56.0,853,4.38,4.4,2.71,0
16308,1.2,62.8,57.0,6526,6.68,6.73,4.21,1
33225,0.36,62.3,56.0,821,4.54,4.57,2.84,0
33694,0.33,61.7,54.0,838,4.46,4.49,2.76,0
40335,0.51,61.8,65.0,1128,5.07,5.02,3.12,0
5584,1.12,60.9,63.0,3864,6.65,6.59,4.03,1
27880,0.39,61.9,55.7,654,4.66,4.71,2.9,0
22812,1.53,62.0,58.0,10836,7.33,7.41,4.57,2
43917,0.31,61.4,55.2,513,4.32,4.35,2.66,0
7232,0.92,62.2,59.0,4194,6.21,6.14,3.84,1
33056,0.3,61.7,58.0,814,4.26,4.3,2.64,0
18004,1.09,60.0,57.0,7281,6.68,6.71,4.02,2
5351,0.8,60.5,59.0,3813,6.0,6.03,3.64,1
43473,0.41,62.1,54.0,1419,4.75,4.81,2.97,0
46402,0.6,61.4,55.0,1766,5.46,5.49,3.36,0
13781,1.01,61.1,58.0,5619,6.46,6.51,3.96,1
15337,1.01,62.7,56.0,6159,6.37,6.43,4.01,1
21298,1.01,63.6,59.0,9451,6.25,6.32,4.0,2
5459,1.01,61.4,59.0,3833,6.42,6.45,3.95,1
18047,0.35,61.0,57.0,614,4.54,4.57,2.78,0
48526,0.51,61.6,55.0,1985,5.15,5.2,3.19,0
7001,1.0,59.7,64.0,4155,6.51,6.45,3.87,1
21262,1.03,62.0,56.0,9413,6.48,6.45,4.01,2
19616,1.23,62.4,57.0,8233,6.88,6.83,4.28,2
35607,0.31,63.1,57.0,907,4.31,4.25,2.7,0
45702,0.56,62.0,56.0,1698,5.29,5.26,3.27,0
4923,0.91,62.2,59.0,3726,6.13,6.18,3.83,1
51768,0.7,62.1,55.0,2409,5.68,5.72,3.54,0
38823,0.5,62.2,60.0,1048,5.02,5.05,3.13,0
33458,0.32,62.3,55.0,828,4.4,4.37,2.73,0
17670,1.15,62.7,57.0,7123,6.68,6.64,4.17,1
7806,1.03,63.4,58.0,4292,6.36,6.42,4.05,1
18217,1.0,61.9,60.0,7392,6.44,6.41,3.98,2
39749,0.5,62.3,59.0,1094,5.02,4.99,3.12,0
53563,0.71,63.0,56.0,2695,5.63,5.68,3.56,0
